Location,Lat,Long
LS_BFC_01,33.44508,-118.48351
LS_BFC_02,33.44514,-118.48406
LS_BFC_03,33.44522,-118.48445
LS_BFC_04,33.44461,-118.48386
LS_BFC_05,33.44484,-118.48424
LS_BFC_06,33.44493,-118.48454
LS_BFC_07,33.44424,-118.4842
LS_BFC_08,33.44441,-118.48448
LS_BFC_09,33.44457,-118.48477
LS_BFC_10,33.44387,-118.4846
LS_BFC_11,33.44404,-118.48488
LS_BFC_12,33.44424,-118.48528
LS_BFC_13,33.44357,-118.48584
LS_BFC_14,33.44392,-118.4856
LS_BFC_15,33.44435,-118.48575
LS_BFC_16,33.44471,-118.48531
