"Plot Title: 10274764"
"#","Date Time, GMT+01:00","Low Range, μS/cm (LGR S/N: 10274764, SEN S/N: 10274764)","High Range, μS/cm (LGR S/N: 10274764, SEN S/N: 10274764)","Temp, °C (LGR S/N: 10274764, SEN S/N: 10274764)","Batt, V (LGR S/N: 10274764, SEN S/N: 10274764)","Coupler Detached (LGR S/N: 10274764)","Coupler Attached (LGR S/N: 10274764)","Host Connected (LGR S/N: 10274764)","Stopped (LGR S/N: 10274764)","End Of File (LGR S/N: 10274764)"
1,03/27/13 11:15:16 AM,0.0,0.0,29.51,3.58,,,,,
2,03/27/13 11:15:18 AM,0.0,0.0,29.49,3.60,,,,,
3,03/27/13 11:15:20 AM,0.0,0.0,29.49,3.60,,,,,
4,03/27/13 11:15:22 AM,0.0,0.0,29.48,3.60,,,,,
5,03/27/13 11:15:24 AM,0.0,0.0,29.47,3.60,,,,,
6,03/27/13 11:15:26 AM,0.0,0.0,29.51,3.60,,,,,
7,03/27/13 11:15:28 AM,0.0,0.0,29.49,3.60,,,,,
8,03/27/13 11:15:30 AM,0.0,0.0,29.47,3.60,,,,,
9,03/27/13 11:15:32 AM,0.0,0.0,29.44,3.60,,,,,
10,03/27/13 11:15:34 AM,0.0,0.0,29.44,3.60,,,,,
11,03/27/13 11:15:36 AM,0.0,0.0,29.44,3.60,,,,,
12,03/27/13 11:15:38 AM,0.0,0.0,29.41,3.60,,,,,
13,03/27/13 11:15:40 AM,0.0,0.0,29.38,3.60,,,,,
14,03/27/13 11:15:42 AM,0.0,0.0,29.37,3.60,,,,,
15,03/27/13 11:15:44 AM,0.0,0.0,29.37,3.60,,,,,
16,03/27/13 11:15:46 AM,0.0,0.0,29.35,3.60,,,,,
17,03/27/13 11:15:48 AM,0.0,0.0,29.35,3.60,,,,,
18,03/27/13 11:15:50 AM,0.0,0.0,29.34,3.60,,,,,
19,03/27/13 11:15:52 AM,0.0,0.0,29.34,3.60,,,,,
20,03/27/13 11:15:54 AM,0.0,0.0,29.34,3.60,,,,,
21,03/27/13 11:15:56 AM,0.0,0.0,29.33,3.60,,,,,
22,03/27/13 11:15:58 AM,0.0,0.0,29.31,3.60,,,,,
23,03/27/13 11:16:00 AM,0.0,0.0,29.27,3.60,,,,,
24,03/27/13 11:16:02 AM,0.0,0.0,29.26,3.60,,,,,
25,03/27/13 11:16:04 AM,0.0,0.0,29.24,3.60,,,,,
26,03/27/13 11:16:06 AM,0.0,0.0,29.24,3.60,,,,,
27,03/27/13 11:16:08 AM,0.0,0.0,29.23,3.60,,,,,
28,03/27/13 11:16:10 AM,0.0,0.0,29.24,3.60,,,,,
29,03/27/13 11:16:12 AM,0.0,0.0,29.23,3.60,,,,,
30,03/27/13 11:16:14 AM,0.0,0.0,29.20,3.60,,,,,
31,03/27/13 11:16:16 AM,0.0,0.0,29.17,3.60,,,,,
32,03/27/13 11:16:18 AM,0.0,0.0,29.17,3.60,,,,,
33,03/27/13 11:16:20 AM,0.0,0.0,29.16,3.60,,,,,
34,03/27/13 11:16:22 AM,0.0,0.0,29.14,3.60,,,,,
35,03/27/13 11:16:24 AM,0.0,0.0,29.14,3.60,,,,,
36,03/27/13 11:16:26 AM,0.0,0.0,29.14,3.60,,,,,
37,03/27/13 11:16:28 AM,0.0,0.0,29.14,3.60,,,,,
38,03/27/13 11:16:30 AM,0.0,0.0,29.12,3.60,,,,,
39,03/27/13 11:16:32 AM,0.0,0.0,29.09,3.60,,,,,
40,03/27/13 11:16:34 AM,0.0,0.0,29.08,3.60,,,,,
41,03/27/13 11:16:36 AM,0.0,0.0,29.06,3.60,,,,,
42,03/27/13 11:16:38 AM,0.0,0.0,29.05,3.60,,,,,
43,03/27/13 11:16:40 AM,0.0,0.0,29.05,3.60,,,,,
44,03/27/13 11:16:42 AM,0.0,0.0,29.05,3.60,,,,,
45,03/27/13 11:16:44 AM,0.0,0.0,29.06,3.60,,,,,
46,03/27/13 11:16:46 AM,0.0,0.0,29.05,3.60,,,,,
47,03/27/13 11:16:48 AM,0.0,0.0,29.02,3.60,,,,,
48,03/27/13 11:16:50 AM,0.0,0.0,29.02,3.60,,,,,
49,03/27/13 11:16:52 AM,0.0,0.0,29.03,3.60,,,,,
50,03/27/13 11:16:54 AM,0.0,0.0,29.01,3.60,,,,,
51,03/27/13 11:16:56 AM,0.0,0.0,28.98,3.60,,,,,
52,03/27/13 11:16:57 AM,,,,,Logged,,,,
53,03/27/13 11:16:58 AM,0.0,0.0,28.94,3.60,,,,,
54,03/27/13 11:17:00 AM,0.0,0.0,28.94,3.60,,,,,
55,03/27/13 11:17:02 AM,0.0,0.0,28.92,3.60,,,,,
56,03/27/13 11:17:04 AM,0.0,0.0,28.91,3.60,,,,,
