"#","Date Time GMT+01:00","Low Range μS/cm (LGR S/N: 10274764 SEN S/N: 10274764)","High Range μS/cm (LGR S/N: 10274764 SEN S/N: 10274764)","Temp °C (LGR S/N: 10274764 SEN S/N: 10274764)","Batt V (LGR S/N: 10274764 SEN S/N: 10274764)","Coupler Detached (LGR S/N: 10274764)","Coupler Attached (LGR S/N: 10274764)","Host Connected (LGR S/N: 10274764)","Stopped (LGR S/N: 10274764)","End Of File (LGR S/N: 10274764)"
1,03/26/13 01:37:00 PM,0.0,0.0,22.83,3.56,,,,,
2,03/26/13 01:37:05 PM,0.0,0.0,22.88,3.60,,,,,
3,03/26/13 01:37:10 PM,0.0,0.0,22.87,3.60,,,,,
4,03/26/13 01:37:15 PM,0.0,0.0,22.84,3.60,Logged,,,,
5,03/26/13 01:37:20 PM,0.0,0.0,22.74,3.60,,,,,
6,03/26/13 01:37:25 PM,0.0,0.0,22.80,3.60,,,,,
7,03/26/13 01:37:30 PM,0.0,0.0,22.77,3.60,,,,,
8,03/26/13 01:37:35 PM,0.0,0.0,22.74,3.60,,,,,
9,03/26/13 01:37:40 PM,0.0,0.0,22.76,3.60,,,,,
10,03/26/13 01:37:45 PM,0.0,0.0,22.81,3.60,,,,,
11,03/26/13 01:37:50 PM,0.0,0.0,22.80,3.60,,,,,
12,03/26/13 01:37:55 PM,0.0,0.0,22.81,3.60,,,,,
13,03/26/13 01:38:00 PM,0.0,0.0,22.81,3.60,,,,,
14,03/26/13 01:38:05 PM,0.0,0.0,22.81,3.60,,,,,
15,03/26/13 01:38:10 PM,0.0,0.0,22.83,3.60,,,,,
16,03/26/13 01:38:15 PM,0.0,0.0,22.88,3.60,,,,,
17,03/26/13 01:38:20 PM,0.0,0.0,22.88,3.60,,,,,
18,03/26/13 01:38:25 PM,0.0,0.0,22.90,3.60,,,,,
19,03/26/13 01:38:30 PM,0.0,0.0,23.05,3.60,,,,,
20,03/26/13 01:38:35 PM,0.0,0.0,23.09,3.60,,,,,
21,03/26/13 01:38:40 PM,0.0,0.0,23.15,3.60,,,,,
22,03/26/13 01:38:45 PM,0.0,0.0,23.19,3.60,,,,,
23,03/26/13 01:38:50 PM,0.0,0.0,23.22,3.60,,,,,
24,03/26/13 01:38:55 PM,0.0,0.0,23.18,3.60,,,,,
25,03/26/13 01:39:00 PM,0.0,0.0,23.16,3.60,,,,,
26,03/26/13 01:39:05 PM,0.0,0.0,23.16,3.60,,,,,
27,03/26/13 01:39:10 PM,0.0,0.0,23.15,3.60,,,,,
28,03/26/13 01:39:15 PM,0.0,0.0,23.15,3.60,,,,,
29,03/26/13 01:39:20 PM,0.0,0.0,23.16,3.60,,,,,
30,03/26/13 01:39:25 PM,0.0,0.0,23.15,3.60,,,,,
31,03/26/13 01:39:30 PM,0.0,0.0,23.12,3.60,,,,,
32,03/26/13 01:39:35 PM,0.0,0.0,23.14,3.60,,,,,
33,03/26/13 01:39:40 PM,0.0,0.0,23.14,3.60,,,,,
34,03/26/13 01:39:45 PM,0.0,0.0,23.09,3.60,,,,,
35,03/26/13 01:39:50 PM,0.0,0.0,23.14,3.60,,,,,
36,03/26/13 01:39:55 PM,0.0,0.0,23.15,3.60,,,,,
37,03/26/13 01:40:00 PM,0.0,0.0,23.12,3.60,,,,,
38,03/26/13 01:40:05 PM,0.0,0.0,23.14,3.60,,,,,
39,03/26/13 01:40:10 PM,0.0,0.0,23.15,3.60,,,,,
40,03/26/13 01:40:15 PM,0.0,0.0,23.16,3.60,,,,,
41,03/26/13 01:40:20 PM,0.0,0.0,23.16,3.60,,,,,
42,03/26/13 01:40:25 PM,0.0,0.0,23.18,3.60,,,,,
43,03/26/13 01:40:30 PM,0.0,0.0,23.19,3.60,,,,,
44,03/26/13 01:40:35 PM,0.0,0.0,23.19,3.60,,,,,
45,03/26/13 01:40:40 PM,0.0,0.0,23.15,3.60,,,,,
46,03/26/13 01:40:45 PM,0.0,0.0,23.05,3.60,,,,,
47,03/26/13 01:40:50 PM,0.0,0.0,23.01,3.60,,,,,
48,03/26/13 01:40:55 PM,0.0,0.0,23.00,3.60,,,,,
49,03/26/13 01:41:00 PM,0.0,0.0,22.98,3.60,,,,,
50,03/26/13 01:41:05 PM,0.0,0.0,22.98,3.60,,,,,
51,03/26/13 01:41:10 PM,0.0,0.0,23.01,3.60,,,,,
52,03/26/13 01:41:15 PM,0.0,0.0,23.02,3.60,,,,,
53,03/26/13 01:41:20 PM,0.0,0.0,23.02,3.60,,,,,
54,03/26/13 01:41:25 PM,0.0,0.0,23.05,3.60,,,,,
